Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude,Location,Landmarks,Landmark long,Landmark lat,Description,Distance (km),Part,imagesPath,Description_new
1,-118.478476,37.0577188,-121.0203383,42.55305601, Southern California - Campo, Campo is the monument of the southern terminus,,, This Paths of the trail is the most southern; here you go through dessert You are in the very southern part and in summer this can be very hot,216 km,Part 1, Images/Segment1.jpg,"This southernmost trail section traverses desert terrain requiring hydration due to high daytime temperatures and cold nights. You'll walk near Sheephead Mountain; Wooden Hill; and through Sawtooth Mountains wilderness. The route includes Anza-Borrego Desert State Park; established in 1932 and named after explorer Juan Bautista de Anza (""borrego"" means sheep). The park spans 237;120 hectares and features remarkable spring blooms."
2,-121.0203383,42.55305601,-120.908273,46.04730289, Southern California - Anza-Borrego Desert,Combs Peak is the highest point of the isolated Bucksnort Mountain mini-range in northern San Diego County.,-116.697429,33.770965,You will pass through rugged desert terrain featuring occasional oases and challenging climbs in this segment You will walk through Jacinto Wildernes   You need to cross Mission Creek several times, 216 km,Part 2, Images/Segment3.jpg,Pass through rugged desert with occasional oases and challenging climbs. Beyond Warner Springs; you'll skirt Combs Peak with chaparral vegetation. Traverse San Jacinto Wilderness and approach Suicide Rock; offering mountain views without major climbing. A free permit is required for Suicide Rock. Continue to Sand to Snow National Monument with iconic red mountains backed by snow-covered peaks; then ascend Onyx Peak in the San Bernardino Mountains.
3,-120.908273,46.04730289,-121.5504511,44.57576911, Southern California - Mount Baden Powell ,Big Bear Lake is Southern California's four-season mountain lake escape and one of the world's rare Sky Island Forests,-117.7646,34.3584,On this part of the Trail yo can see Mt Baden Powell who is the founder of scouts. The first groups of scouts were formed in 1907 on the basis og his book Aids for Scouting You walk on the egde of Big Bear City,216 km,Part 3, Images/Segment6.jpg,"Walk near Big Bear Lake; the jewel of San Bernardino National Forest covering 3;333.87 km_. The forest was used for filming ""Daniel Boone"" (1936) and ""Paint Your Wagon"" (1969). Cross Interstate 15 at approximately 1;436 meters elevation; passing Table Mountain and Mount San Antonio. Nearby Vasquez Rock features striking formations created by millions of years of erosion and has been a popular filming location."
4,-121.5504511,44.57576911,-120.9779288,39.8078156, Southern California - Sierra Pelona Mountains,Mount Baden Powell is the 4th highest peak in San Gabriel Range with 853 meters over the surrounding terrain.,,,You go in Angeles National forests On this part of the route you walk in a mixture of hilly terrain and valleys of sand You are both  on the egde of moutains and have some of the trail in the city of Lancaster, 216 km,Part 4, Images/Segment8.jpg,Trek through Angeles National Forest; an urban wilderness providing solitude and unique recreation opportunities. Climb Mt. Baden-Powell; named after the founder of scouts and a classic San Gabriel peak-bagging hike. Experience hilly terrain and sand valleys; passing through Agua Dulce with its rolling hills and Vasquez Rocks. The trail traverses Lancaster city areas and includes Walker's Pass and 1;781-meter Burnt Peak with expansive views.
5,-120.9779288,39.8078156,-121.7016886,42.68975638, Sierra Nevada & Northern California - Kennedy Meadows, Double Mountain is the highest point in the Tehachapi Mountains of California.,-118.291222,35.01597, This part of the trail is hilly and you will need to cross several small creeks  You will both walk in hilly terran and forretes, 216 km,Part 5, Images/Segment11.jpg,Hike through hilly terrain crossing several small creeks. Pass Double Mountain with its twin summits near Tehachapi. Encounter Mojave city; established in 1876 as a Southern Pacific Railroad construction camp and later headquarters for Los Angeles Aqueduct construction. The trail ascends Welden Peak for expansive views; then winds between Piute Peak and Sorrell Peak showcasing diverse vegetation and geological features while skirting Pinyon Mountain.
6,-121.7016886,42.68975638,-121.3174455,42.14187776, Sierra Nevada & Northern California - Forester Pass , Kiawah Wilderness is renowned for its natural beauty and abundant wildlife,,, You walk in both Owen Peak Wilderness; Kiavah Wildernes and Domeland Wildernes. A part with a lot of protected nature; so in this path the chance for uniqe experince  You will be climbing many meters both up and down. You will be walking through the South Sierra Wilderness and there will be several mountain peaks and peaks around you along the way  You are walking in an area with many mountains. Some of the ones you can see on the trip are: Mount Withney; Mount Langley; Kern Peak; Cirque Peak, 216 km,Part 6, Images/Segment13.jpg,Cross three wilderness areas - Owens Peak; Kiavah; and Domeland - each with unique landscapes from rugged mountains to intricate rock formations and forests. Navigate South Sierra Wilderness surrounded by dramatic peaks including Rockhouse; Ball Mountain; Bald Mountain; and Olancha Peak. Continue through terrain dominated by Mount Stanford; Mount Williamson; iconic Mount Whitney; Mount Langley; and Cirque Peak before culminating near Muah Mountain.
7,-121.3174455,42.14187776,-119.3990414,42.26149933, Sierra Nevada & Northern California - Sonora Pass,Mount Whitney is the highest summit in the contiguous United States which provides a spectacular highlight,,, You are in the middel of Inyo National Forrest. Inyo National Forest extends approximately 265 kilometers near the California and Nevada border. It covers about 809.371 hectares mostly on the eastern slope of the Sierra Nevada  You are walking in an area with many mountains and you encounter many altitude differences at the same time there are many larger and smaller lakes,216 km,Part 7, Images/Segment16.jpg,Traverse Inyo National Forest; spanning 265 kilometers near the California-Nevada border covering 809;371 hectares on the Sierra Nevada's eastern slope. Pass between Mount Clarence King; Acrodectes Peak; Mount Goddard; and Mount Darwin - a 4;218-meter flat-topped mountain. Navigate diverse landscapes with dramatic altitude changes around Bloody Mountain; Red Slate Mountain; Mount Morgan; and Seven Gables; encountering various lakes near Silver Peak and Mammoth Lakes.
8,-119.3990414,42.26149933,-121.6728243,41.25952485, Sierra Nevada & Northern California - Donner Memorial State Park,Mount Ritter is 4008 meter above sealevel and was named by Josiah Whitney chief of California geological survey ,,, You walk in both Ansel Adams Wildernes and the great Yosemite National Park. It was first protected in 1864.Yosemite National Park is best known for its waterfalls but you can find deep valleys and grand meadows as well  As the trail moves northward; it traverses the lush forests of Northern California; with a mix of steep inclines and dense woodland  During this par of the trail You'll cross the border between California and Oregon,216 km,Part 8, Images/Segment18.jpg,Experience Ansel Adams Wilderness and Yosemite National Park; established in 1864. View Mount Ritter; Mount Lyell; Mount Dana and Clouds Rest. Continue through Yosemite Wilderness into Hoover Wilderness through dense woodlands and challenging terrain near Tower Peak. Navigate Carson-Iceberg Wilderness with Highland Peak; Whitecliff Peak; Sonora Peak and Leavitt Peak featuring rugged terrain; glacial remnants; dense conifer forests and waterways ideal for high-altitude trekking.
9,-121.6728243,41.25952485,-120.5226685,39.03072402, Oregon - Ashland,Pyramid Peak is 787 meter above the surrounding terrain ,,,It is a varied terrain with both forest and desert  and you will pass by a lot of large and small lakes  You will walk in Donner Memorial State Park some of the parth. The very large Lake Tahoe is close by  the closest towns to the trail are Tahoe Pines; Homewood and Rubicon Bay,216 km,Part 9, Images/Segment21.jpg,Hike near Lake Tahoe through majestic landscapes in the Lake Tahoe Basin Management Unit. Ascend towards Ralston Peak and Pyramid Peak for sweeping views of forests and the lake. The trail weaves through rugged terrain near Granite Chief and Tinker Knob along part of the Tahoe Rim Trail. Nearby towns include Truckee with historical charm and Tahoe City with lakeside scenery; providing important resupply stops.
10,-120.5226685,39.03072402,-118.6124795,35.95739742, Oregon - Cowhorn Mountain, Love Falls is just a short hike from where the trail crosses Highway 49 traveling east of the quaint village of Sierra City,-120.6071599; -121.2814,39.5807332; 39.426, You walk on the egde opf Sierra city. You need to cross North Yuba River and Haypress Creek. When Crossing North Yba Falls You walk very close to Love Falls  This is a hilly stretch where you also have to cross the Middle Fork Feather River  If You do the hole trail you are in this segment in the middel or half to reach your desination. You need to cross North Fork Feather River and Yellow Creek,216 km,Part 10, Images/Segment23.jpg,Cross North Yuba River and Haypress Creek near scenic North Yuba Falls and Love Falls. Sierra City offers civilization before returning to secluded Tahoe National Forest paths. Continue through Plumas National Forest's dense forests; mountainous vistas and remote wilderness. The trail passes Quincy for resupply; then through Bucks Lake Wilderness near Bald Eagle Mountain; Ben Lomond; and Snow Mountain; crossing Highway 70 multiple times with views of Castle Rocks and Eagle Rocks.
