Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude,Location,Landmarks,Landmark long,Landmark lat,Description,Distance (km),Part,Description_new,imagesPath
1,-118.478476,37.0577188,-120.5812901,42.04745979, Southern California - Campo,,,, This Paths of the trail is the most southern; here you go through dessert,121.6 km,Part 1,This southernmost trail section crosses desert terrain. Stay hydrated as temperatures fluctuate between hot days and cold nights. You'll walk alongside Sheephead Mountain and Wooden Hill; traversing through Sawtooth Mountains Wilderness with its characteristic mountain formations., Images/Segment1.jpg
2,-120.5812901,42.04745979,-121.0203383,42.55305601, Southern California - Mount Laguna,,,,You are in the very southern part and in summer this can be very hot,121.6 km,Part 2,"Located in the extreme southern region where summer temperatures soar. The route passes through Anza-Borrego Desert State Park (established 1932); named after Spanish explorer Juan Bautista de Anza and ""borrego"" (Spanish for sheep). Covering 237;120 hectares; the park features amazing spring wildflowers and diverse plant life.", Images/Segment2.jpg
3,-121.0203383,42.55305601,-118.8414404,37.32590421, Southern California - Anza-Borrego Desert,,-116.697429,33.770965,You will pass through rugged desert terrain featuring occasional oases and challenging climbs in this segment You will walk through Jacinto Wildernes ,121.6 km,Part 3,Traverse rugged desert terrain with occasional oases and challenging climbs. Pass Warner Springs; a set of natural springs and small community in northern San Diego County. Trail runs alongside Combs Peak through chaparral country with manzanita; scrub oak; and other native vegetation. Cross Jacinto Wilderness near Suicide Rock; which offers spectacular mountain views without climbing major peaks., Images/Segment3.jpg
4,-118.8414404,37.32590421,-120.908273,46.04730289, Southern California - Cajon Pass,,,, You need to cross Mission Creek several times,121.6 km,Part 4,Walk with views of Sand to Snow National Monument; featuring iconic red mountains against snow-capped white peaks in the background. The trail ascends Onyx Peak; a mountain pass located in the southwestern San Bernardino Mountains., Images/Segment5.jpg
5,-120.908273,46.04730289,-121.5504511,44.57576911, Southern California - Mount Baden Powell ,,-117.7646,34.3584,On this part of the Trail yo can see Mt Baden Powell who is the founder of scouts. The first groups of scouts were formed in 1907 on the basis og his book Aids for Scouting You walk on the egde of Big Bear City,121.6 km,Part 5,See Big Bear Lake; jewel of San Bernardino National Forest; known for fishing; winter sports; hiking and mountain biking. Walk through the 3;333.87 km_ San Bernardino National Forest; divided into northern and southern portions. Cross Interstate 15 with a long 1;436-meter altitude stretch. Pass Table Mountain; Mount San Antonio; and the striking formations of Vasquez Rock., Images/Segment6.jpg
6,-121.5504511,44.57576911,-120.9071109,39.35874634, Southern California - Sierra Pelona Mountains,,,,You go in Angeles National forests,121.6 km,Part 6,"Travel through Angeles National Forest; an urban wilderness providing solitude and unique recreation opportunities amid changing populations. Climb Mt. Baden-Powell; named after the founder of Scouts who formed the first groups in 1907 based on his book ""Aids for Scouting."" This classic San Gabriels hike is a must for peak-baggers.", Images/Segment8.jpg
7,-120.9071109,39.35874634,-120.9779288,39.8078156, Southern California - Tehachapi Mountains,,,,On this part of the route you walk in a mixture of hilly terrain and valleys of sand You are both  on the egde of moutains and have some of the trail in the city of Lancaster,121.6 km,Part 7,Walk through mixed terrain of hills and sandy valleys. Pass through Agua Dulce; a charming rural community covering 59 square kilometers; featuring Vasquez Rocks. Trail runs along mountain edges and through Lancaster city. Cross Walker's Pass in the Sierra Nevada and encounter Burnt Peak (1;781m) with expansive views near Lake Hughes., Images/Segment9.jpg
8,-120.9779288,39.8078156,-120.3586733,45.08212134, Sierra Nevada & Northern California - Kennedy Meadows, Double Mountain,-118.291222,35.01597, This part of the trail is hilly and you will need to cross several small creeks,121.6 km,Part 8,Navigate hilly terrain crossing several small creeks. Pass Double Mountain with its two nearly equal-elevation summits south of Tehachapi. Approach Mojave city; originally a construction camp on the Southern Pacific Railroad (1876) and later the western terminus for twenty-mule teams from Death Valley's Harmony Borax Works (1884-1889)., Images/Segment11.jpg
9,-120.3586733,45.08212134,-121.7016886,42.68975638, Sierra Nevada & Northern California - Sequoia National Park,,,, You will both walk in hilly terran and forretes,121.6 km,Part 9,First ascend Welden Peak for expansive views; then wind between Piute Peak and Sorrell Peak showcasing diverse vegetation and geological features. Continue skirting Pinyon Mountain where alpine landscapes blend with dense pinyon pine forests., Images/Segment12.jpg
10,-121.7016886,42.68975638,-121.2857281,42.2562489, Sierra Nevada & Northern California - Forester Pass ,,,, You walk in both Owen Peak Wilderness; Kiavah Wildernes and Domeland Wildernes. A part with a lot of protected nature; so in this path the chance for uniqe experince  You will be climbing many meters both up and down. You will be walking through the South Sierra Wilderness and there will be several mountain peaks and peaks around you along the way,121.6 km,Part 10,Traverse three wilderness areas - Owens Peak; Kiavah; and Domeland - each offering unique landscapes from rugged mountains to intricate rock formations and forested areas. Begin ascending Weldon Peak; continue between Piute Peak and Sorrell Peak; then skirt Pinyon Mountain to Sawtooth Peak. Experience South Sierra Wilderness surrounded by dramatic peaks including Rockhouse Peak; Ball Mountain; Bald Mountain; and Olancha Peak., Images/Segment13.jpg
