Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude, Location, Landmarks,Landmark long, Landmark lat, Description_new,Distance (km),Part, imagesPath,Description
1,-118.478476,37.0577188,-120.5812901,42.04745979, Southern California Near the border of Mexico, Campo is the monument of the southern terminus,-116.46891,32.60645, This Paths of the trail is the most southern; here you go through dessert. It is important that you stay hydrated. During the day the temperature is high and at night it can be very cold. You walk on the side of Sheephead Mountain and Wooden Hill. You have some of the trail in Sawtooth Mountains wilderness where you can be able to see the caracteristic mountains.,84.8 km, Segment 1/50, Images/Segment1.jpg, This Paths of the trail is the most southern; here you go through dessert
2,-120.5812901,42.04745979,-121.0203383,42.55305601, Southern California and Anza-Borrego desert ,Anza-Borrego Desert the park was established in 1932. The park covers 237120 ha ,-116.3014,33.10154,You are in the very southern part and in summer this can be very hot. You go through Anza-Borrego Desert State park. Here You can see amazing flowers and plants that blooms ind spring. The Park was created in 1932 the park takes its name from 18th century Spanish explorer Juan Bautista de Anza and borrego is a Spanish word for sheep. The park is 237120 ha ,83.2 km, Segment 2/50, Images/Segment2.jpg,You are in the very southern part and in summer this can be very hot
3,-121.0203383,42.55305601,-121.1910008,42.37309226, Southern California through Warner Springs,Combs Peak is the highest point of the isolated Bucksnort Mountain mini-range in northern San Diego County.,-116.6058,33.394,You will pass through rugged desert terrain featuring occasional oases and challenging climbs in this segment. You go past Warner Springs which is set of springs and a small unincorporated community in northern San Diego County. On the trail you righ on the side of Combs peak. The Combs Peak area is typical San Diego County chaparral country with manzanita; scrub oak; buckthorn; red shanks and chamise densely clothing unburned areas of its mountain slopes. Recent fires swept through the eastern flanks and as a result have made the scramble and approach from the PCT much easier. ,83.2 km, Segment 3/50, Images/Segment3.jpg,You will pass through rugged desert terrain featuring occasional oases and challenging climbs in this segment
4,-121.1910008,42.37309226,-118.8414404,37.32590421, Southern California through Jacinto Wildernes, Suicide Rocks name comes from a story of a Native American princess and her lover who after being ordered to separate instead committed suicide by jumping off the rock,-116.697429,33.770965,You will walk through Jacinto Wildernes. You go close to Suicide Rock and take a trip to the top of it if you want to. Hiking the Suicide Rock Trail gives you the big mountain feel without climbing the big mountains. You'll have to hike uphill on the Deer Springs Trail - through the oaks that give way to pines as you get higher. The payoff is a massive slab of granite with views of the mountains surrounding you. You need a free permit to hike to Suicide Rock. ,83.2 km, Segment 4/50, Images/Segment4.jpg,You will walk through Jacinto Wildernes 
5,-118.8414404,37.32590421,-120.908273,46.04730289, Southern California and Sand to Snow National Monument,Sand to Snow National Monument protects diverse montane and desert habitats of the San Bernardino; Mountains southern Mojave Desert and northwestern Colorado Desert.,-116.4308,34.1132, You are walking with a weiuw to Sand to Snow National Monumant. Here you will see iconic sand red moutains and behind thoose white mountains with snow. You also go up on Onyx Peak which is a mountain pass located in the San Bernardino Mountains in the southwestern part of San Bernardino County. ,83.2 km, Segment 5/50, Images/Segment5.jpg, You need to cross Mission Creek several times
6,-120.908273,46.04730289,-117.7516927,34.12845803, Southern California through San Bernardino National Forest ,Big Bear Lake is Southern California's four-season mountain lake escape and one of the world's rare Sky Island Forests,-116.901,34.2318, You can see Big Bear Lake from this part of the trail. Big Bear Lake is the jewel of the San Bernardino National Forest: known for excellent fishing; snowboarding and skiing; hiking; mountain biking and so much more! You walk in San Bernardino National Forrest. Covering 3333.87 km2 and beeing divided into two large areas a norther and a southern portion. This site was the filming location for Daniel Boone in 1936; part of the 1969 musical film Paint Your Wagon was shot here. ,83.2 km, Segment 6/50, Images/Segment6.jpg,On this part of the Trail yo can see Mt Baden Powell who is the founder of scouts. The first groups of scouts were formed in 1907 on the basis og his book Aids for Scouting
7,-117.7516927,34.12845803,-121.5504511,44.57576911, Southern California and Sheep Mountain Wilderness, Vasquez Rocks,-118.19,34.2848,You will cross instate 15 and you will walk approximately 1436 meters in altitude in a long stretch. On the way you will se Table Mountain and Mount San Antonio. If you want close by is Vasquez Rock renowned for its striking and jagged rock formations. This is formed by rapid erosion over millions of years. This iconic landscape has been a popular filming location for various movies and TV shows. ,83.2 km, Segment 7/50, Images/Segment7.jpg,You walk on the egde of Big Bear City
8,-121.5504511,44.57576911,-120.9071109,39.35874634, Southern California in Angeles National Forests,Mount Baden Powell is the 4th highest peak in San Gabriel Range with 853 meters over the surrounding terrain.,-117.7646,34.3584,You go in Angeles National forests. The Angeles National Forest is an urban national forest in the center of an ever-changing population and provides a place for surrounding communities to experience solitude; quiet; and enjoy unique recreation opportunities. On this part of the Trail you will climb Mt Baden Powell who is the founder of scouts. The first groups of scouts were formed in 1907 on the basis og his book Aids for Scouting. Baden-Powell is one of the classic hikes in the San Gabriels that you must add to your peak-bagging bucket list.,83.2km, Segment 8/50, Images/Segment8.jpg,You go in Angeles National forests
9,-120.9071109,39.35874634,-121.7982932,45.88117289," Southern California ""Sweet Water""", Agua Dulce is a Spanish word that means Sweet Water.,-118.32,34.5,On this part of the route you walk in a mixture of hilly terrain and valleys of sand. You come through Agua Dulce on you way. Agua Dulce in California is a charming rural community known for its rolling hills and a serene country lifestyle. It features natural attractions like Vasquez Rocks which offer stunning landscapes and outdoor recreational opportunities. It covers a geographic area of about 59 square kilometers ,83.2 km, Segment 9/50, Images/Segment9.jpg,On this part of the route you walk in a mixture of hilly terrain and valleys of sand
10,-121.7982932,45.88117289,-120.9779288,39.8078156, Southern Californias Through Walker Pass ,Burnt Peak is the highest peak of the Sierra Pelona located in northwestern Los Angeles County,-118.5769,34.683,You are both  on the egde of moutains and have some of the trail in the city of Lancaster In this part you will meet Walkers Pass and Burnt Peak. Walker's Pass is a mountain pass in the Sierra Nevada offering panoramic views and a gateway to diverse hiking trails. Burnt Peak and Lake Hughes in California are noted for their scenic beauty. Burnt Peak with its 1781 meters hight providing expansive views of the surrounding landscapes and Lake Hughes offering tranquil waters ideal for leisure activities,83.2 km, Segment 10/50, Images/Segment10.jpg,You are both  on the egde of moutains and have some of the trail in the city of Lancaster
